Founders Demo Co,,,,,,,,,,
General Ledger,,,,,,,,,,
January 1 - December 31, 2026,,,,,,,,,,
,,,,,,,,,,
,Date,Transaction Type,Num,Name,Vendor,Customer,Memo/Description,Split,Amount,Balance
,06/10/2026,Bill Payment,2136,Amazon Web Services,Amazon Web Services,,Pay bill,2000 Accounts Payable,-2754.00,57412.00
,06/10/2026,Bill Payment,2138,Cloudflare,Cloudflare,,Pay bill,2000 Accounts Payable,-400.00,57012.00
,06/10/2026,Bill Payment,2140,Datadog,Datadog,,Pay bill,2000 Accounts Payable,-680.00,56332.00
,06/10/2026,Bill Payment,2151,Startup Accounting Advisors,Startup Accounting Advisors,,Pay bill,2000 Accounts Payable,-1500.00,54832.00
,06/15/2026,Payment,2128,Acme Corp,,Acme Corp,Invoice payment,1200 Accounts Receivable,10817.00,65649.00
,06/15/2026,Payment,2130,Globex Inc,,Globex Inc,Invoice payment,1200 Accounts Receivable,6400.00,72049.00
,06/15/2026,Payment,2132,Initech LLC,,Initech LLC,Invoice payment,1200 Accounts Receivable,4900.00,76949.00
,06/15/2026,Payment,2133,Stark Industries,,Stark Industries,Invoice payment,1200 Accounts Receivable,9000.00,85949.00
,06/15/2026,Check,2141,Gusto,Gusto,,Payroll and benefits,6000 Payroll & Benefits,-12500.00,73449.00
,06/26/2026,Expense,2134,Stripe,Stripe,,Payment processing fees,5100 Merchant Processing Fees,-649.00,72800.00
,06/28/2026,Check,2155,First Republic Bank,First Republic Bank,,Loan interest,8000 Interest Expense,-210.00,72590.00
,06/30/2026,Deposit,2157,First Republic Bank,,,Interest earned,7000 Interest Income,45.00,72635.00
,07/01/2026,Check,2172,Blue Shield of CA,Blue Shield of CA,,Payroll and benefits,6000 Payroll & Benefits,-980.00,71655.00
,07/01/2026,Check,2173,WeWork,WeWork,,Office rent,6100 Rent & Facilities,-3400.00,68255.00
,07/06/2026,Credit Card Payment,2185,Chase,Chase,,Pay card balance in full,2100 Credit Card,-6199.00,62056.00
,07/10/2026,Bill Payment,2166,Amazon Web Services,Amazon Web Services,,Pay bill,2000 Accounts Payable,-2850.00,59206.00
,07/10/2026,Bill Payment,2168,Cloudflare,Cloudflare,,Pay bill,2000 Accounts Payable,-400.00,58806.00
,07/10/2026,Bill Payment,2170,Datadog,Datadog,,Pay bill,2000 Accounts Payable,-680.00,58126.00
,07/10/2026,Bill Payment,2182,Startup Accounting Advisors,Startup Accounting Advisors,,Pay bill,2000 Accounts Payable,-1500.00,56626.00
,07/10/2026,Bill Payment,2183,Wilson & Gray LLP,Wilson & Gray LLP,,Pay bill,2000 Accounts Payable,-2600.00,54026.00
,07/15/2026,Payment,2159,Acme Corp,,Acme Corp,Invoice payment,1200 Accounts Receivable,11088.00,65114.00
,07/15/2026,Payment,2161,Globex Inc,,Globex Inc,Invoice payment,1200 Accounts Receivable,6400.00,71514.00
,07/15/2026,Payment,2163,Initech LLC,,Initech LLC,Invoice payment,1200 Accounts Receivable,4900.00,76414.00
,07/15/2026,Check,2171,Gusto,Gusto,,Payroll and benefits,6000 Payroll & Benefits,-14500.00,61914.00
,07/26/2026,Expense,2164,Stripe,Stripe,,Payment processing fees,5100 Merchant Processing Fees,-657.00,61257.00
,07/28/2026,Check,2184,First Republic Bank,First Republic Bank,,Loan interest,8000 Interest Expense,-210.00,61047.00
,07/30/2026,Deposit,2186,First Republic Bank,,,Interest earned,7000 Interest Income,45.00,61092.00
,08/01/2026,Check,2202,Blue Shield of CA,Blue Shield of CA,,Payroll and benefits,6000 Payroll & Benefits,-980.00,60112.00
,08/01/2026,Check,2203,WeWork,WeWork,,Office rent,6100 Rent & Facilities,-3400.00,56712.00
,08/06/2026,Credit Card Payment,2214,Chase,Chase,,Pay card balance in full,2100 Credit Card,-6333.00,50379.00
,08/10/2026,Bill Payment,2196,Amazon Web Services,Amazon Web Services,,Pay bill,2000 Accounts Payable,-2950.00,47429.00
,08/10/2026,Bill Payment,2198,Cloudflare,Cloudflare,,Pay bill,2000 Accounts Payable,-400.00,47029.00
,08/10/2026,Bill Payment,2200,Datadog,Datadog,,Pay bill,2000 Accounts Payable,-680.00,46349.00
,08/10/2026,Bill Payment,2212,Startup Accounting Advisors,Startup Accounting Advisors,,Pay bill,2000 Accounts Payable,-1500.00,44849.00
,08/15/2026,Payment,2188,Acme Corp,,Acme Corp,Invoice payment,1200 Accounts Receivable,11365.00,56214.00
,08/15/2026,Payment,2190,Globex Inc,,Globex Inc,Invoice payment,1200 Accounts Receivable,6400.00,62614.00
,08/15/2026,Payment,2192,Initech LLC,,Initech LLC,Invoice payment,1200 Accounts Receivable,4900.00,67514.00
,08/15/2026,Check,2201,Gusto,Gusto,,Payroll and benefits,6000 Payroll & Benefits,-14500.00,53014.00
,08/26/2026,Expense,2194,Stripe,Stripe,,Payment processing fees,5100 Merchant Processing Fees,-1014.00,52000.00
,08/28/2026,Check,2213,First Republic Bank,First Republic Bank,,Loan interest,8000 Interest Expense,-210.00,51790.00
,08/30/2026,Deposit,2215,First Republic Bank,,,Interest earned,7000 Interest Income,45.00,51835.00
,09/01/2026,Check,2232,Blue Shield of CA,Blue Shield of CA,,Payroll and benefits,6000 Payroll & Benefits,-980.00,50855.00
,09/01/2026,Check,2233,WeWork,WeWork,,Office rent,6100 Rent & Facilities,-3400.00,47455.00
,09/06/2026,Credit Card Payment,2246,Chase,Chase,,Pay card balance in full,2100 Credit Card,-6387.00,41068.00
,09/10/2026,Bill Payment,2226,Amazon Web Services,Amazon Web Services,,Pay bill,2000 Accounts Payable,-3053.00,38015.00
,09/10/2026,Bill Payment,2228,Cloudflare,Cloudflare,,Pay bill,2000 Accounts Payable,-400.00,37615.00
,09/10/2026,Bill Payment,2230,Datadog,Datadog,,Pay bill,2000 Accounts Payable,-680.00,36935.00
,09/10/2026,Bill Payment,2243,Startup Accounting Advisors,Startup Accounting Advisors,,Pay bill,2000 Accounts Payable,-1500.00,35435.00
,09/15/2026,Payment,2217,Acme Corp,,Acme Corp,Invoice payment,1200 Accounts Receivable,11649.00,47084.00
,09/15/2026,Payment,2219,Globex Inc,,Globex Inc,Invoice payment,1200 Accounts Receivable,6400.00,53484.00
,09/15/2026,Payment,2221,Initech LLC,,Initech LLC,Invoice payment,1200 Accounts Receivable,4900.00,58384.00
,09/15/2026,Payment,2223,Wayne Enterprises,,Wayne Enterprises,Invoice payment,1200 Accounts Receivable,12000.00,70384.00
,09/15/2026,Check,2231,Gusto,Gusto,,Payroll and benefits,6000 Payroll & Benefits,-14500.00,55884.00
,09/26/2026,Expense,2224,Stripe,Stripe,,Payment processing fees,5100 Merchant Processing Fees,-1022.00,54862.00
,09/28/2026,Check,2245,First Republic Bank,First Republic Bank,,Loan interest,8000 Interest Expense,-210.00,54652.00
,09/30/2026,Deposit,2247,First Republic Bank,,,Interest earned,7000 Interest Income,45.00,54697.00
,10/01/2026,Check,2264,Blue Shield of CA,Blue Shield of CA,,Payroll and benefits,6000 Payroll & Benefits,-980.00,53717.00
,10/01/2026,Check,2265,WeWork,WeWork,,Office rent,6100 Rent & Facilities,-3400.00,50317.00
,10/06/2026,Credit Card Payment,2280,Chase,Chase,,Pay card balance in full,2100 Credit Card,-7799.00,42518.00
,10/10/2026,Bill Payment,2258,Amazon Web Services,Amazon Web Services,,Pay bill,2000 Accounts Payable,-3160.00,39358.00
,10/10/2026,Bill Payment,2260,Cloudflare,Cloudflare,,Pay bill,2000 Accounts Payable,-400.00,38958.00
,10/10/2026,Bill Payment,2262,Datadog,Datadog,,Pay bill,2000 Accounts Payable,-680.00,38278.00
,10/10/2026,Bill Payment,2275,Startup Accounting Advisors,Startup Accounting Advisors,,Pay bill,2000 Accounts Payable,-1500.00,36778.00
,10/10/2026,Bill Payment,2276,Wilson & Gray LLP,Wilson & Gray LLP,,Pay bill,2000 Accounts Payable,-2600.00,34178.00
,10/15/2026,Payment,2249,Acme Corp,,Acme Corp,Invoice payment,1200 Accounts Receivable,11940.00,46118.00
,10/15/2026,Payment,2251,Globex Inc,,Globex Inc,Invoice payment,1200 Accounts Receivable,6400.00,52518.00
,10/15/2026,Payment,2253,Initech LLC,,Initech LLC,Invoice payment,1200 Accounts Receivable,4900.00,57418.00
,10/15/2026,Payment,2255,Wayne Enterprises,,Wayne Enterprises,Invoice payment,1200 Accounts Receivable,12000.00,69418.00
,10/15/2026,Check,2263,Gusto,Gusto,,Payroll and benefits,6000 Payroll & Benefits,-14500.00,54918.00
,10/26/2026,Expense,2256,Stripe,Stripe,,Payment processing fees,5100 Merchant Processing Fees,-1031.00,53887.00
,10/28/2026,Check,2279,First Republic Bank,First Republic Bank,,Loan interest,8000 Interest Expense,-210.00,53677.00
,10/30/2026,Deposit,2281,First Republic Bank,,,Interest earned,7000 Interest Income,45.00,53722.00
,11/01/2026,Check,2298,Blue Shield of CA,Blue Shield of CA,,Payroll and benefits,6000 Payroll & Benefits,-980.00,52742.00
,11/01/2026,Check,2299,WeWork,WeWork,,Office rent,6100 Rent & Facilities,-3400.00,49342.00
,11/06/2026,Credit Card Payment,2311,Chase,Chase,,Pay card balance in full,2100 Credit Card,-11381.00,37961.00
,11/10/2026,Bill Payment,2292,Amazon Web Services,Amazon Web Services,,Pay bill,2000 Accounts Payable,-3271.00,34690.00
,11/10/2026,Bill Payment,2294,Cloudflare,Cloudflare,,Pay bill,2000 Accounts Payable,-400.00,34290.00
,11/10/2026,Bill Payment,2296,Datadog,Datadog,,Pay bill,2000 Accounts Payable,-680.00,33610.00
,11/10/2026,Bill Payment,2309,Startup Accounting Advisors,Startup Accounting Advisors,,Pay bill,2000 Accounts Payable,-1500.00,32110.00
,11/15/2026,Payment,2283,Acme Corp,,Acme Corp,Invoice payment,1200 Accounts Receivable,12239.00,44349.00
,11/15/2026,Payment,2285,Globex Inc,,Globex Inc,Invoice payment,1200 Accounts Receivable,6400.00,50749.00
,11/15/2026,Payment,2287,Initech LLC,,Initech LLC,Invoice payment,1200 Accounts Receivable,4900.00,55649.00
,11/15/2026,Payment,2289,Wayne Enterprises,,Wayne Enterprises,Invoice payment,1200 Accounts Receivable,12000.00,67649.00
,11/15/2026,Check,2297,Gusto,Gusto,,Payroll and benefits,6000 Payroll & Benefits,-14500.00,53149.00
,11/26/2026,Expense,2290,Stripe,Stripe,,Payment processing fees,5100 Merchant Processing Fees,-1040.00,52109.00
,11/28/2026,Check,2310,First Republic Bank,First Republic Bank,,Loan interest,8000 Interest Expense,-210.00,51899.00
,11/30/2026,Deposit,2312,First Republic Bank,,,Interest earned,7000 Interest Income,45.00,51944.00
,12/01/2026,Check,2328,Blue Shield of CA,Blue Shield of CA,,Payroll and benefits,6000 Payroll & Benefits,-980.00,50964.00
,12/01/2026,Check,2329,WeWork,WeWork,,Office rent,6100 Rent & Facilities,-3400.00,47564.00
,12/06/2026,Credit Card Payment,2342,Chase,Chase,,Pay card balance in full,2100 Credit Card,-9454.00,38110.00
,12/10/2026,Bill Payment,2322,Amazon Web Services,Amazon Web Services,,Pay bill,2000 Accounts Payable,-3385.00,34725.00
,12/10/2026,Bill Payment,2324,Cloudflare,Cloudflare,,Pay bill,2000 Accounts Payable,-400.00,34325.00
,12/10/2026,Bill Payment,2326,Datadog,Datadog,,Pay bill,2000 Accounts Payable,-680.00,33645.00
,12/10/2026,Bill Payment,2339,Startup Accounting Advisors,Startup Accounting Advisors,,Pay bill,2000 Accounts Payable,-1500.00,32145.00
,12/15/2026,Payment,2314,Acme Corp,,Acme Corp,Invoice payment,1200 Accounts Receivable,12545.00,44690.00
,12/15/2026,Payment,2316,Globex Inc,,Globex Inc,Invoice payment,1200 Accounts Receivable,6400.00,51090.00
,12/15/2026,Payment,2318,Initech LLC,,Initech LLC,Invoice payment,1200 Accounts Receivable,4900.00,55990.00
,12/15/2026,Payment,2319,Wayne Enterprises,,Wayne Enterprises,Invoice payment,1200 Accounts Receivable,12000.00,67990.00
,12/15/2026,Check,2327,Gusto,Gusto,,Payroll and benefits,6000 Payroll & Benefits,-14500.00,53490.00
,12/26/2026,Expense,2320,Stripe,Stripe,,Payment processing fees,5100 Merchant Processing Fees,-701.00,52789.00
,12/28/2026,Check,2341,First Republic Bank,First Republic Bank,,Loan interest,8000 Interest Expense,-210.00,52579.00
,12/30/2026,Deposit,2343,First Republic Bank,,,Interest earned,7000 Interest Income,45.00,52624.00
Total for 1000 Checking,,,,,,,,,52624.00,52624.00
1200 Accounts Receivable,,,,,,,,,,
,01/04/2026,Invoice,2002,Acme Corp,,Acme Corp,Monthly billing,4000 Subscription Revenue,9800.00,9800.00
,01/04/2026,Invoice,2003,Globex Inc,,Globex Inc,Monthly billing,4000 Subscription Revenue,6400.00,16200.00
,02/04/2026,Invoice,2018,Acme Corp,,Acme Corp,Monthly billing,4000 Subscription Revenue,10045.00,26245.00
,02/04/2026,Invoice,2020,Globex Inc,,Globex Inc,Monthly billing,4000 Subscription Revenue,6400.00,32645.00
,02/04/2026,Invoice,2022,Stark Industries,,Stark Industries,Monthly billing,4100 Professional Services Revenue,9000.00,41645.00
,02/15/2026,Payment,2019,Acme Corp,,Acme Corp,Invoice payment,1000 Checking,-9800.00,31845.00
,02/15/2026,Payment,2021,Globex Inc,,Globex Inc,Invoice payment,1000 Checking,-6400.00,25445.00
,03/04/2026,Invoice,2041,Acme Corp,,Acme Corp,Monthly billing,4000 Subscription Revenue,10296.00,35741.00
,03/04/2026,Invoice,2043,Globex Inc,,Globex Inc,Monthly billing,4000 Subscription Revenue,6400.00,42141.00
,03/04/2026,Invoice,2045,Initech LLC,,Initech LLC,Monthly billing,4000 Subscription Revenue,4900.00,47041.00
,03/04/2026,Invoice,2046,Stark Industries,,Stark Industries,Monthly billing,4100 Professional Services Revenue,9000.00,56041.00
,03/15/2026,Payment,2042,Acme Corp,,Acme Corp,Invoice payment,1000 Checking,-10045.00,45996.00
,03/15/2026,Payment,2044,Globex Inc,,Globex Inc,Invoice payment,1000 Checking,-6400.00,39596.00
,03/15/2026,Payment,2047,Stark Industries,,Stark Industries,Invoice payment,1000 Checking,-9000.00,30596.00
,04/04/2026,Invoice,2069,Acme Corp,,Acme Corp,Monthly billing,4000 Subscription Revenue,10554.00,41150.00
,04/04/2026,Invoice,2071,Globex Inc,,Globex Inc,Monthly billing,4000 Subscription Revenue,6400.00,47550.00
,04/04/2026,Invoice,2073,Initech LLC,,Initech LLC,Monthly billing,4000 Subscription Revenue,4900.00,52450.00
,04/04/2026,Invoice,2075,Stark Industries,,Stark Industries,Monthly billing,4100 Professional Services Revenue,9000.00,61450.00
,04/15/2026,Payment,2070,Acme Corp,,Acme Corp,Invoice payment,1000 Checking,-10296.00,51154.00
,04/15/2026,Payment,2072,Globex Inc,,Globex Inc,Invoice payment,1000 Checking,-6400.00,44754.00
,04/15/2026,Payment,2074,Initech LLC,,Initech LLC,Invoice payment,1000 Checking,-4900.00,39854.00
,04/15/2026,Payment,2076,Stark Industries,,Stark Industries,Invoice payment,1000 Checking,-9000.00,30854.00
,05/04/2026,Invoice,2098,Acme Corp,,Acme Corp,Monthly billing,4000 Subscription Revenue,10817.00,41671.00
,05/04/2026,Invoice,2100,Globex Inc,,Globex Inc,Monthly billing,4000 Subscription Revenue,6400.00,48071.00
,05/04/2026,Invoice,2102,Initech LLC,,Initech LLC,Monthly billing,4000 Subscription Revenue,4900.00,52971.00
,05/04/2026,Invoice,2104,Stark Industries,,Stark Industries,Monthly billing,4100 Professional Services Revenue,9000.00,61971.00
,05/15/2026,Payment,2099,Acme Corp,,Acme Corp,Invoice payment,1000 Checking,-10554.00,51417.00
,05/15/2026,Payment,2101,Globex Inc,,Globex Inc,Invoice payment,1000 Checking,-6400.00,45017.00
,05/15/2026,Payment,2103,Initech LLC,,Initech LLC,Invoice payment,1000 Checking,-4900.00,40117.00
,05/15/2026,Payment,2105,Stark Industries,,Stark Industries,Invoice payment,1000 Checking,-9000.00,31117.00
,06/04/2026,Invoice,2127,Acme Corp,,Acme Corp,Monthly billing,4000 Subscription Revenue,11088.00,42205.00
,06/04/2026,Invoice,2129,Globex Inc,,Globex Inc,Monthly billing,4000 Subscription Revenue,6400.00,48605.00
,06/04/2026,Invoice,2131,Initech LLC,,Initech LLC,Monthly billing,4000 Subscription Revenue,4900.00,53505.00
,06/15/2026,Payment,2128,Acme Corp,,Acme Corp,Invoice payment,1000 Checking,-10817.00,42688.00
,06/15/2026,Payment,2130,Globex Inc,,Globex Inc,Invoice payment,1000 Checking,-6400.00,36288.00
,06/15/2026,Payment,2132,Initech LLC,,Initech LLC,Invoice payment,1000 Checking,-4900.00,31388.00
,06/15/2026,Payment,2133,Stark Industries,,Stark Industries,Invoice payment,1000 Checking,-9000.00,22388.00
,07/04/2026,Invoice,2158,Acme Corp,,Acme Corp,Monthly billing,4000 Subscription Revenue,11365.00,33753.00
,07/04/2026,Invoice,2160,Globex Inc,,Globex Inc,Monthly billing,4000 Subscription Revenue,6400.00,40153.00
,07/04/2026,Invoice,2162,Initech LLC,,Initech LLC,Monthly billing,4000 Subscription Revenue,4900.00,45053.00
,07/15/2026,Payment,2159,Acme Corp,,Acme Corp,Invoice payment,1000 Checking,-11088.00,33965.00
,07/15/2026,Payment,2161,Globex Inc,,Globex Inc,Invoice payment,1000 Checking,-6400.00,27565.00
,07/15/2026,Payment,2163,Initech LLC,,Initech LLC,Invoice payment,1000 Checking,-4900.00,22665.00
,08/04/2026,Invoice,2187,Acme Corp,,Acme Corp,Monthly billing,4000 Subscription Revenue,11649.00,34314.00
,08/04/2026,Invoice,2189,Globex Inc,,Globex Inc,Monthly billing,4000 Subscription Revenue,6400.00,40714.00
,08/04/2026,Invoice,2191,Initech LLC,,Initech LLC,Monthly billing,4000 Subscription Revenue,4900.00,45614.00
,08/04/2026,Invoice,2193,Wayne Enterprises,,Wayne Enterprises,Monthly billing,4100 Professional Services Revenue,12000.00,57614.00
,08/15/2026,Payment,2188,Acme Corp,,Acme Corp,Invoice payment,1000 Checking,-11365.00,46249.00
,08/15/2026,Payment,2190,Globex Inc,,Globex Inc,Invoice payment,1000 Checking,-6400.00,39849.00
,08/15/2026,Payment,2192,Initech LLC,,Initech LLC,Invoice payment,1000 Checking,-4900.00,34949.00
,09/04/2026,Invoice,2216,Acme Corp,,Acme Corp,Monthly billing,4000 Subscription Revenue,11940.00,46889.00
,09/04/2026,Invoice,2218,Globex Inc,,Globex Inc,Monthly billing,4000 Subscription Revenue,6400.00,53289.00
,09/04/2026,Invoice,2220,Initech LLC,,Initech LLC,Monthly billing,4000 Subscription Revenue,4900.00,58189.00
,09/04/2026,Invoice,2222,Wayne Enterprises,,Wayne Enterprises,Monthly billing,4100 Professional Services Revenue,12000.00,70189.00
,09/15/2026,Payment,2217,Acme Corp,,Acme Corp,Invoice payment,1000 Checking,-11649.00,58540.00
,09/15/2026,Payment,2219,Globex Inc,,Globex Inc,Invoice payment,1000 Checking,-6400.00,52140.00
,09/15/2026,Payment,2221,Initech LLC,,Initech LLC,Invoice payment,1000 Checking,-4900.00,47240.00
,09/15/2026,Payment,2223,Wayne Enterprises,,Wayne Enterprises,Invoice payment,1000 Checking,-12000.00,35240.00
,10/04/2026,Invoice,2248,Acme Corp,,Acme Corp,Monthly billing,4000 Subscription Revenue,12239.00,47479.00
,10/04/2026,Invoice,2250,Globex Inc,,Globex Inc,Monthly billing,4000 Subscription Revenue,6400.00,53879.00
,10/04/2026,Invoice,2252,Initech LLC,,Initech LLC,Monthly billing,4000 Subscription Revenue,4900.00,58779.00
,10/04/2026,Invoice,2254,Wayne Enterprises,,Wayne Enterprises,Monthly billing,4100 Professional Services Revenue,12000.00,70779.00
,10/15/2026,Payment,2249,Acme Corp,,Acme Corp,Invoice payment,1000 Checking,-11940.00,58839.00
